age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
28,management,divorced,tertiary,no,229,yes,no,cellular,9,apr,2,315,2,other,yes
45,blue-collar,married,secondary,no,96,yes,no,cellular,13,apr,3,256,2,failure,yes
44,self-employed,single,tertiary,no,1367,yes,no,cellular,13,apr,3,146,1,other,yes
33,management,married,tertiary,no,0,yes,no,cellular,14,apr,3,328,1,failure,yes
33,admin.,single,secondary,no,572,yes,no,cellular,14,apr,1,74,2,failure,yes
44,admin.,divorced,secondary,no,0,no,no,cellular,14,apr,1,148,1,failure,yes
43,services,married,primary,no,2557,yes,no,telephone,15,apr,2,327,3,failure,yes
32,services,married,secondary,no,1129,yes,no,cellular,15,apr,2,341,2,failure,yes
38,management,single,tertiary,no,6158,yes,no,cellular,15,apr,5,145,9,failure,yes
32,blue-collar,married,secondary,yes,-53,yes,no,cellular,16,apr,1,272,1,other,yes
52,entrepreneur,single,tertiary,no,3469,yes,no,cellular,16,apr,1,147,1,success,yes
35,technician,married,secondary,no,545,yes,no,cellular,16,apr,1,234,4,failure,yes
35,blue-collar,single,secondary,no,0,yes,no,cellular,16,apr,1,345,4,other,yes
32,services,married,secondary,no,1273,yes,no,cellular,16,apr,2,328,1,failure,yes
32,technician,single,tertiary,no,932,yes,no,cellular,16,apr,1,318,1,failure,yes
40,services,divorced,primary,no,471,yes,no,cellular,16,apr,1,345,2,failure,yes
35,blue-collar,married,secondary,no,293,yes,no,cellular,17,apr,1,325,1,other,yes
32,management,divorced,tertiary,no,294,yes,no,cellular,17,apr,1,274,5,success,yes
34,blue-collar,married,primary,no,329,yes,no,cellular,17,apr,1,343,1,failure,yes
38,management,married,tertiary,no,165,yes,no,cellular,17,apr,1,260,2,other,yes
37,blue-collar,married,primary,no,3154,yes,no,cellular,17,apr,1,305,3,failure,yes
29,technician,married,secondary,no,1180,yes,no,cellular,17,apr,3,323,3,failure,yes
34,management,married,secondary,yes,879,yes,no,cellular,17,apr,1,344,1,failure,yes
41,self-employed,married,secondary,no,323,yes,no,cellular,17,apr,2,254,6,other,yes
53,technician,married,secondary,no,5303,yes,no,telephone,17,apr,3,180,1,success,yes
28,technician,single,tertiary,no,387,yes,no,cellular,20,apr,1,82,1,failure,yes
29,self-employed,married,secondary,no,123,no,yes,cellular,21,apr,2,181,1,success,yes
33,admin.,married,tertiary,no,882,no,no,cellular,22,apr,1,183,4,failure,yes
53,management,married,tertiary,no,3754,no,no,cellular,22,apr,1,278,2,failure,yes
31,admin.,single,tertiary,no,676,yes,no,cellular,22,apr,2,343,2,other,yes
37,management,married,tertiary,no,0,yes,no,cellular,23,apr,5,153,7,failure,yes
32,management,single,tertiary,no,2974,yes,no,cellular,24,apr,1,4,1,failure,yes
31,technician,single,tertiary,no,1081,no,no,cellular,24,apr,5,261,2,failure,yes
35,blue-collar,married,secondary,no,149,yes,no,cellular,29,apr,3,349,1,other,yes
29,admin.,married,secondary,no,7707,yes,no,cellular,29,apr,2,334,2,failure,yes
38,services,married,secondary,no,1970,yes,no,cellular,30,apr,1,176,1,success,yes
47,technician,married,secondary,no,1167,yes,no,cellular,30,apr,1,87,5,failure,yes
52,management,married,tertiary,no,193,no,no,cellular,30,apr,1,269,1,failure,yes
36,unemployed,single,tertiary,no,1291,no,no,cellular,30,apr,1,86,1,success,yes
47,blue-collar,married,secondary,no,1230,yes,no,cellular,30,apr,1,169,1,success,yes
36,admin.,married,secondary,no,96,no,no,cellular,30,apr,1,87,1,success,yes
23,student,single,secondary,no,0,no,no,cellular,30,apr,1,83,6,success,yes
29,management,single,tertiary,no,697,no,no,cellular,30,apr,1,85,1,success,yes
59,technician,married,secondary,no,2308,no,no,cellular,30,apr,1,87,1,other,yes
58,management,divorced,tertiary,no,5701,no,no,cellular,30,apr,1,87,1,success,yes
48,blue-collar,married,secondary,no,292,no,no,cellular,30,apr,1,79,1,success,yes
54,admin.,divorced,secondary,no,1693,no,no,cellular,30,apr,1,87,2,other,yes
42,technician,married,tertiary,no,757,no,no,cellular,30,apr,1,79,1,success,yes
42,blue-collar,married,primary,no,201,yes,no,cellular,30,apr,1,85,2,failure,yes
44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,30,apr,1,160,2,other,yes
30,management,single,tertiary,no,398,no,no,cellular,30,apr,1,6,2,success,yes
46,technician,married,secondary,no,0,no,no,cellular,30,apr,1,259,2,other,yes
35,management,single,tertiary,no,1750,yes,no,cellular,30,apr,1,9,3,success,yes
35,management,married,tertiary,no,193,yes,no,cellular,30,apr,1,13,1,failure,yes
35,admin.,single,tertiary,no,994,no,no,cellular,30,apr,1,87,2,failure,yes
42,management,married,tertiary,no,6060,yes,no,cellular,30,apr,1,350,2,failure,yes
33,management,married,tertiary,no,55,no,no,cellular,30,apr,2,87,3,failure,yes
53,management,married,tertiary,no,1624,no,no,cellular,30,apr,3,84,3,success,yes
26,admin.,single,secondary,no,255,no,no,cellular,30,apr,1,80,1,success,yes
30,admin.,single,secondary,no,270,no,no,cellular,30,apr,1,80,1,success,yes
38,management,married,tertiary,no,613,no,no,cellular,30,apr,1,86,1,success,yes
29,technician,single,secondary,no,674,no,no,cellular,30,apr,1,13,5,success,yes
47,management,single,tertiary,no,86,no,no,cellular,30,apr,3,87,1,success,yes
34,management,single,tertiary,no,1228,no,no,cellular,30,apr,2,84,8,success,yes
54,technician,divorced,secondary,no,2156,yes,no,cellular,30,apr,1,86,5,success,yes
46,management,married,tertiary,no,699,no,no,cellular,30,apr,1,87,1,failure,yes
47,blue-collar,married,primary,no,2749,yes,no,cellular,30,apr,2,164,1,failure,yes
39,management,married,tertiary,no,0,no,no,cellular,30,apr,3,22,3,other,yes
33,blue-collar,single,tertiary,no,700,no,no,cellular,30,apr,1,80,2,success,yes
58,management,married,tertiary,no,4152,yes,no,cellular,30,apr,2,164,4,other,yes
54,technician,married,secondary,no,0,no,no,telephone,30,apr,3,84,3,success,yes
31,management,single,tertiary,no,354,no,no,cellular,30,apr,1,9,2,success,yes
29,blue-collar,single,secondary,no,734,yes,yes,cellular,30,apr,1,296,1,other,yes
30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,1,85,2,success,yes
28,unemployed,single,primary,no,236,no,no,cellular,4,may,1,87,3,failure,yes
33,management,single,tertiary,no,5437,no,no,cellular,4,may,1,91,1,failure,yes
41,blue-collar,married,secondary,no,5060,no,no,cellular,4,may,1,83,3,success,yes
38,technician,divorced,secondary,no,902,yes,no,cellular,4,may,3,90,1,success,yes
47,technician,married,secondary,no,335,no,no,cellular,4,may,1,76,1,success,yes
49,management,married,tertiary,no,1,no,no,telephone,4,may,3,175,1,success,yes
33,technician,single,tertiary,no,1636,yes,no,cellular,4,may,1,66,1,success,yes
60,technician,married,secondary,no,316,no,no,cellular,4,may,2,263,4,failure,yes
33,services,single,secondary,no,489,yes,no,cellular,4,may,4,334,1,other,yes
32,student,single,tertiary,no,1138,no,no,cellular,4,may,3,83,3,success,yes
36,self-employed,married,secondary,no,188,yes,yes,cellular,4,may,3,333,2,success,yes
35,management,married,tertiary,no,520,yes,no,cellular,4,may,3,17,5,failure,yes
30,self-employed,married,tertiary,no,2666,no,no,cellular,4,may,3,89,1,success,yes
39,management,single,tertiary,no,1515,yes,no,cellular,4,may,6,167,6,failure,yes
39,management,single,tertiary,no,2454,yes,no,cellular,4,may,3,263,2,failure,yes
35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,may,4,164,2,failure,yes
59,retired,divorced,secondary,no,514,no,no,cellular,4,may,6,90,1,success,yes
35,student,single,secondary,no,188,yes,no,cellular,5,may,1,78,8,success,yes
31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,1,341,7,failure,yes
30,technician,single,secondary,no,-522,yes,yes,cellular,5,may,2,286,6,failure,yes
35,admin.,married,secondary,no,1286,yes,no,cellular,5,may,3,337,1,other,yes
27,admin.,married,secondary,no,710,yes,yes,cellular,6,may,1,334,2,success,yes
37,technician,divorced,secondary,no,141,yes,no,cellular,6,may,1,364,3,failure,yes
30,management,divorced,tertiary,no,415,yes,yes,cellular,6,may,1,343,4,failure,yes
34,entrepreneur,married,tertiary,no,0,yes,no,cellular,6,may,1,183,1,failure,yes
36,management,single,tertiary,no,7506,yes,no,cellular,6,may,2,188,1,success,yes
32,admin.,married,secondary,no,752,yes,no,cellular,6,may,2,166,5,failure,yes
49,management,married,secondary,no,99,yes,no,cellular,6,may,2,343,1,failure,yes
33,management,married,secondary,no,3935,yes,no,cellular,6,may,1,342,2,failure,yes
31,management,single,tertiary,no,59,yes,yes,cellular,6,may,2,363,1,failure,yes
40,management,married,tertiary,no,1598,yes,yes,cellular,6,may,4,344,3,failure,yes
42,blue-collar,married,primary,no,1461,yes,no,cellular,7,may,2,170,3,failure,yes
36,management,single,tertiary,no,4,yes,no,cellular,7,may,2,342,1,failure,yes
30,services,single,secondary,no,-271,yes,no,cellular,7,may,1,337,1,success,yes
50,services,married,primary,no,5024,yes,yes,cellular,7,may,1,267,11,other,yes
51,admin.,married,secondary,no,3025,no,no,cellular,7,may,1,352,1,other,yes
29,technician,single,tertiary,no,0,yes,no,cellular,7,may,2,337,6,failure,yes
43,management,married,tertiary,no,1429,yes,no,cellular,7,may,1,169,3,success,yes
31,admin.,single,secondary,no,0,yes,no,cellular,7,may,2,295,2,failure,yes
49,blue-collar,single,primary,no,2146,yes,no,cellular,7,may,2,353,2,other,yes
42,unemployed,married,secondary,no,356,yes,no,cellular,7,may,3,356,2,failure,yes
45,admin.,married,secondary,yes,-106,yes,yes,cellular,7,may,3,288,1,other,yes
45,services,divorced,secondary,no,608,yes,yes,cellular,7,may,3,323,30,failure,yes
45,blue-collar,divorced,secondary,no,-184,yes,no,cellular,7,may,3,170,5,failure,yes
39,admin.,single,secondary,no,2345,yes,no,cellular,8,may,2,344,2,failure,yes
57,admin.,married,secondary,no,6005,yes,no,cellular,8,may,1,323,6,failure,yes
42,management,married,tertiary,no,4,yes,no,cellular,8,may,2,295,1,success,yes
57,management,married,tertiary,no,830,yes,yes,cellular,8,may,1,367,1,success,yes
59,retired,married,tertiary,no,148,yes,yes,cellular,8,may,2,366,1,other,yes
47,retired,married,primary,no,1374,no,yes,telephone,8,may,2,359,3,failure,yes
42,management,married,tertiary,no,-556,yes,yes,cellular,8,may,3,347,3,failure,yes
41,admin.,single,secondary,no,-109,yes,yes,cellular,11,may,1,370,1,failure,yes
43,management,divorced,tertiary,no,580,yes,no,cellular,11,may,1,284,2,failure,yes
38,services,married,secondary,no,5293,yes,no,cellular,11,may,1,171,6,failure,yes
39,management,married,tertiary,no,763,yes,no,cellular,11,may,7,300,2,other,yes
34,admin.,divorced,secondary,no,479,yes,no,cellular,12,may,1,350,5,failure,yes
38,housemaid,single,primary,no,199,yes,no,cellular,12,may,1,306,1,failure,yes
48,services,divorced,secondary,no,-361,yes,no,cellular,12,may,3,349,3,other,yes
34,admin.,single,secondary,no,151,yes,no,cellular,12,may,1,370,1,other,yes
39,management,single,tertiary,no,5073,yes,no,cellular,12,may,1,286,4,failure,yes
39,admin.,married,secondary,no,607,yes,no,cellular,12,may,2,364,3,failure,yes
47,services,married,secondary,no,367,yes,no,cellular,12,may,1,306,4,success,yes
35,blue-collar,single,secondary,no,855,yes,no,cellular,12,may,1,300,1,success,yes
47,admin.,married,secondary,no,663,yes,yes,cellular,12,may,1,274,6,other,yes
46,blue-collar,married,primary,no,804,yes,no,cellular,12,may,2,361,1,success,yes
37,admin.,single,primary,no,912,yes,no,cellular,12,may,3,328,22,other,yes
59,admin.,married,secondary,no,145,yes,no,telephone,12,may,2,287,13,success,yes
36,blue-collar,married,primary,no,319,yes,no,cellular,13,may,2,301,1,failure,yes
33,technician,married,secondary,no,221,yes,no,cellular,13,may,1,355,4,failure,yes
28,admin.,divorced,secondary,no,451,yes,no,cellular,13,may,1,301,1,success,yes
42,blue-collar,single,secondary,no,1080,yes,yes,cellular,13,may,3,370,4,failure,yes
34,management,single,tertiary,no,76,yes,no,cellular,13,may,2,371,3,failure,yes
35,management,single,tertiary,no,1396,yes,no,cellular,13,may,1,300,1,failure,yes
51,blue-collar,divorced,primary,no,-19,yes,no,cellular,13,may,1,296,11,failure,yes
50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,2,292,1,failure,yes
40,blue-collar,married,primary,no,830,yes,no,cellular,13,may,3,370,2,failure,yes
36,admin.,divorced,secondary,no,437,yes,no,cellular,14,may,2,344,1,success,yes
28,blue-collar,single,primary,no,54,yes,no,cellular,14,may,1,371,1,other,yes
49,management,married,tertiary,no,85,yes,no,cellular,14,may,5,359,1,other,yes
31,self-employed,single,tertiary,no,17924,yes,no,cellular,14,may,1,174,3,failure,yes
55,blue-collar,divorced,primary,no,8180,no,no,cellular,14,may,2,360,1,failure,yes
35,blue-collar,single,secondary,no,4963,yes,no,cellular,14,may,1,300,1,failure,yes
31,admin.,married,secondary,no,8781,yes,no,cellular,14,may,1,177,1,success,yes
39,management,married,tertiary,no,1738,yes,no,cellular,14,may,1,358,1,other,yes
48,blue-collar,married,primary,no,214,yes,yes,cellular,14,may,1,177,2,failure,yes
41,blue-collar,married,secondary,no,580,yes,no,cellular,14,may,1,363,1,failure,yes
34,management,married,tertiary,no,273,yes,no,cellular,14,may,1,175,2,failure,yes
36,self-employed,divorced,tertiary,no,1354,yes,no,cellular,14,may,1,356,2,success,yes
35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,may,1,346,2,failure,yes
31,blue-collar,single,secondary,no,953,yes,no,cellular,14,may,1,346,2,success,yes
53,services,divorced,secondary,no,765,yes,no,cellular,14,may,3,174,7,other,yes
30,admin.,single,secondary,no,315,yes,no,cellular,14,may,3,346,4,failure,yes
34,admin.,married,secondary,no,124,yes,no,telephone,14,may,4,366,2,other,yes
39,services,single,secondary,no,7066,yes,no,cellular,15,may,3,357,3,other,yes
42,services,married,secondary,no,146,yes,yes,cellular,15,may,4,346,1,failure,yes
56,services,single,secondary,no,-40,yes,no,cellular,15,may,1,368,2,failure,yes
26,services,married,secondary,no,77,yes,no,cellular,15,may,1,340,4,failure,yes
35,blue-collar,married,primary,no,22,yes,no,cellular,15,may,2,302,2,other,yes
28,admin.,single,secondary,no,154,yes,no,cellular,15,may,1,364,1,other,yes
35,admin.,divorced,secondary,no,534,no,no,cellular,15,may,1,312,3,failure,yes
35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,5,179,4,failure,yes
28,management,single,secondary,no,703,yes,no,cellular,15,may,1,88,1,other,yes
31,admin.,married,secondary,no,685,yes,no,cellular,15,may,1,329,3,failure,yes
46,blue-collar,married,primary,no,1085,yes,yes,cellular,15,may,2,353,58,other,yes
29,services,married,secondary,no,6567,yes,no,cellular,15,may,2,298,1,failure,yes
39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,may,4,371,1,failure,yes
54,unemployed,married,secondary,no,582,yes,no,cellular,15,may,5,372,2,failure,yes
28,services,single,secondary,no,341,yes,no,cellular,15,may,3,347,3,other,yes
25,admin.,single,secondary,no,507,yes,no,cellular,15,may,1,367,3,failure,yes
48,blue-collar,married,secondary,no,480,yes,no,cellular,15,may,1,352,2,failure,yes
40,admin.,married,secondary,no,2574,yes,no,cellular,15,may,1,176,1,failure,yes
28,management,single,tertiary,no,41,yes,no,cellular,15,may,3,352,2,other,yes
36,admin.,single,secondary,no,148,yes,no,cellular,15,may,4,374,2,failure,yes
38,self-employed,single,tertiary,no,5774,yes,no,cellular,15,may,4,359,5,other,yes
37,blue-collar,married,primary,no,2120,yes,no,cellular,15,may,3,175,4,failure,yes
51,management,single,tertiary,no,297,yes,no,cellular,15,may,4,375,1,failure,yes
35,blue-collar,married,secondary,no,205,yes,yes,cellular,15,may,7,312,1,failure,yes
29,blue-collar,married,secondary,no,-493,yes,no,cellular,18,may,2,334,4,failure,yes
40,admin.,single,secondary,no,2040,yes,no,cellular,18,may,2,350,2,failure,yes
32,technician,single,secondary,no,230,yes,no,cellular,18,may,1,266,8,failure,yes
31,blue-collar,single,secondary,no,239,yes,no,cellular,18,may,1,360,1,success,yes
55,retired,divorced,tertiary,no,0,no,no,cellular,18,may,1,370,1,success,yes
36,housemaid,single,secondary,no,1015,yes,no,cellular,18,may,1,347,2,success,yes
45,technician,divorced,secondary,no,-357,yes,yes,cellular,18,may,1,355,2,failure,yes
32,blue-collar,married,primary,no,-454,yes,yes,cellular,18,may,5,355,2,failure,yes
33,blue-collar,married,secondary,no,139,yes,yes,cellular,18,may,2,291,5,failure,yes
34,blue-collar,married,primary,no,-1,yes,no,cellular,18,may,6,355,1,other,yes
38,technician,single,secondary,no,-242,yes,no,cellular,18,may,3,278,6,success,yes
35,services,single,secondary,no,719,yes,no,cellular,18,may,3,368,3,failure,yes
29,unemployed,single,tertiary,no,497,yes,no,cellular,18,may,3,298,6,success,yes
45,admin.,divorced,secondary,no,397,yes,yes,cellular,22,may,1,95,2,success,yes
32,technician,single,tertiary,no,1625,no,no,cellular,22,may,1,109,1,failure,yes
37,services,married,secondary,no,1543,yes,no,cellular,22,may,1,10,6,failure,yes
39,management,single,tertiary,no,0,yes,no,cellular,22,may,1,93,3,success,yes
43,services,married,secondary,no,2145,no,no,cellular,22,may,1,183,3,failure,yes
26,student,single,secondary,no,620,no,no,cellular,22,may,1,94,1,success,yes
27,student,single,tertiary,no,3733,yes,no,cellular,22,may,1,98,6,success,yes
42,management,married,primary,no,5310,yes,no,cellular,22,may,2,186,1,success,yes
36,management,married,tertiary,no,255,no,no,cellular,22,may,2,92,2,other,yes
27,management,single,tertiary,no,616,yes,no,cellular,22,may,1,101,1,other,yes
43,admin.,single,secondary,no,733,yes,no,cellular,25,may,1,187,3,success,yes
60,retired,divorced,tertiary,no,439,no,yes,cellular,25,may,1,321,1,failure,yes
28,technician,single,tertiary,no,0,yes,no,cellular,25,may,1,40,2,failure,yes
24,blue-collar,single,secondary,no,167,no,yes,cellular,25,may,1,96,2,success,yes
43,technician,divorced,secondary,no,1612,no,no,cellular,25,may,2,353,1,other,yes
36,technician,married,tertiary,no,911,yes,yes,cellular,25,may,2,21,3,failure,yes
35,technician,single,secondary,no,27,yes,no,cellular,25,may,1,305,1,other,yes
32,technician,single,tertiary,no,705,yes,no,cellular,25,may,2,35,4,failure,yes
33,technician,single,tertiary,no,109,yes,yes,cellular,25,may,2,10,7,failure,yes
24,student,single,secondary,no,23878,no,no,cellular,26,may,1,97,1,success,yes
58,technician,married,secondary,no,3399,no,no,cellular,26,may,1,97,7,other,yes
31,technician,single,secondary,no,138,no,no,cellular,26,may,1,285,2,other,yes
58,retired,married,secondary,no,2714,no,no,cellular,26,may,1,287,2,failure,yes
48,management,divorced,tertiary,no,17964,yes,no,cellular,26,may,2,96,3,other,yes
32,management,single,tertiary,no,312,no,no,cellular,26,may,2,98,2,success,yes
47,admin.,divorced,secondary,no,2232,no,no,cellular,27,may,1,103,1,success,yes
37,admin.,married,secondary,no,1967,no,no,cellular,27,may,1,212,1,success,yes
26,admin.,single,secondary,no,2509,no,no,cellular,27,may,3,97,3,success,yes
35,technician,married,secondary,no,1368,no,no,cellular,27,may,1,41,2,other,yes
25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,3,89,2,failure,yes
55,admin.,married,secondary,no,602,no,no,cellular,1,jun,3,90,2,success,yes
49,management,married,tertiary,no,1808,yes,no,cellular,1,jun,1,95,1,success,yes
45,admin.,married,tertiary,no,2552,no,no,cellular,1,jun,1,293,7,failure,yes
47,technician,married,secondary,no,293,no,no,cellular,1,jun,1,90,1,success,yes
54,services,divorced,secondary,no,0,no,no,cellular,1,jun,1,81,2,success,yes
43,management,divorced,tertiary,no,2367,no,no,cellular,1,jun,1,38,2,other,yes
27,management,single,tertiary,no,1840,no,no,cellular,1,jun,1,28,8,other,yes
47,management,married,tertiary,no,2351,no,no,cellular,2,jun,2,84,1,success,yes
26,admin.,single,tertiary,no,313,no,yes,cellular,2,jun,1,96,2,success,yes
38,admin.,married,tertiary,no,1988,no,no,cellular,2,jun,1,67,4,success,yes
42,services,married,secondary,no,1376,yes,no,cellular,2,jun,2,92,4,success,yes
49,technician,married,tertiary,no,523,yes,no,cellular,2,jun,1,60,3,failure,yes
27,technician,single,tertiary,no,15161,no,no,cellular,2,jun,1,120,1,success,yes
49,services,married,secondary,no,7019,yes,no,cellular,2,jun,1,368,3,failure,yes
46,blue-collar,married,secondary,no,1568,yes,no,cellular,2,jun,1,55,6,other,yes
28,technician,single,tertiary,no,4987,no,no,cellular,2,jun,2,113,21,success,yes
49,management,married,tertiary,no,5887,no,no,cellular,2,jun,3,293,2,failure,yes
29,technician,married,secondary,no,23,yes,no,cellular,2,jun,1,55,2,failure,yes
34,unemployed,married,secondary,no,978,no,no,cellular,3,jun,2,71,1,success,yes
32,self-employed,married,secondary,no,409,no,no,cellular,3,jun,2,86,2,success,yes
42,blue-collar,married,secondary,no,2913,no,no,cellular,3,jun,1,195,1,failure,yes
29,management,single,tertiary,no,637,yes,no,cellular,3,jun,1,119,1,failure,yes
26,technician,single,secondary,no,1231,yes,no,cellular,3,jun,2,96,5,success,yes
26,management,single,tertiary,no,2786,no,no,cellular,3,jun,2,72,1,success,yes
39,unemployed,married,tertiary,no,201,no,no,cellular,3,jun,1,119,1,failure,yes
43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,2,93,1,success,yes
32,blue-collar,married,secondary,no,889,yes,no,cellular,3,jun,2,85,3,other,yes
